rooms_No,ownership_form,interior_state,floor,balcony,parking_space,listing_type,description,year_built,building_type,lift,link2
2,spółdzielcze wł. prawo do lokalu,do zamieszkania,9/12,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-jelonki-ID4nm7b
1,N/A,N/A,5/6,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/kawalerka-33-8m2-300m-od-tramwaju-kredyt-2-ID4nmeR
2,pełna własność,do zamieszkania,parter/4,"ogródek, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-47m2-wola-jana-kazimierza-bezposrednio-ID4n4py
1,pełna własność,do zamieszkania,1/3,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/nowa-wyposazona-kawalerka-przy-galerii-polnocnej-ID4nmeN
3,pełna własność,do zamieszkania,2/6,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokoje-na-zoliborzu-ul-ludwika-rydygiera-ID4n4pe
2,pełna własność,do zamieszkania,parter/4,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/wyremontowane-2-pokoje-blisko-metra-wilanowska-ID4mUEJ
2,pełna własność,do wykończenia,parter/5,ogródek,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/parter-wysoki-na-3-45m2tylko-800-od-metra-ID4nm6P
2,pełna własność,do zamieszkania,7/14,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/nowoczesny-apartament-w-centrum-warszawy-bagno-2-ID4niFy
2,spółdzielcze wł. prawo do lokalu,do zamieszkania,3/3,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-na-wlochach-ID4nmfo
3,pełna własność,do zamieszkania,1/2,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/bez-prowizji-3-pokoje-bez-pcc-wykonczenia-pod-ID4l2nQ
3,pełna własność,do zamieszkania,2/6,"balkon, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mokotow-3pok-73-39m2-ul-pory-55-meble-w-cenie-ID4n4pL
3,pełna własność,do zamieszkania,parter/3,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/rozkladowe-mieszkanie-49-87-m2-dolny-mokotow-ID4n8nm
2,pełna własność,do wykończenia,1/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/idealne-na-1-mieszkanie-12min-do-metra-ID4nnxX
2,pełna własność,do wykończenia,1/5,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/ostatnie-mieszkaniatylko-800-metrow-od-metra-ID4nm7o
1,pełna własność,do wykończenia,1/11,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-46m2-loggia-bez-prowizji-ID4jK2b
2,pełna własność,do wykończenia,6/6,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-43m2-loggia-ID4jK6u
3,N/A,do remontu,2/10,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokoje-kuchnia-49-mkw-do-remontu-ID4nmg4
4,N/A,do wykończenia,4/4,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/komfortowy-apartament-lila-garden-m28-ID4iDEl
3,pełna własność,do zamieszkania,1/3,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/116-metrowy-apartament-ochota-widok-na-starodrzew-ID4ndMY
1,pełna własność,do wykończenia,parter/2,ogródek,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-33m2-ogrodek-bez-prowizji-ID4lJLd
2,N/A,do wykończenia,1/5,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/nowoczesne-osiedle-idealne-na-start-inwestycje-ID4nnyc
4,N/A,do wykończenia,2/3,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/dwustronne-kameralne-osiedle-kredyt-2-ID4nnyg
3,pełna własność,do wykończenia,2/5,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/bezposrednio-okazja-ul-kolejowa-nu-ID4mFew
1,pełna własność,do wykończenia,2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/zainwestuj-w-lokal-i-odlicz-podatek-vat-w-tym-roku-ID4ihtm
2,pełna własność,do wykończenia,parter/2,ogródek,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-34m2-ogrodek-bez-prowizji-ID4ke9o
3,pełna własność,do wykończenia,parter/2,ogródek,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-64m2-ogrodek-bez-prowizji-ID4ke8g
3,pełna własność,do wykończenia,2/3,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/rezerwacja-bezposrednio-2p-kuchnia-balkon-6-5m-ID4mNME
1,pełna własność,do remontu,1/10,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-28m2-1-pietro-winda-ochrona-balkon-ID4mUGm
4,pełna własność,do wykończenia,1/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-104m2-balkon-bezposrednio-ID4ke8q
3,N/A,do wykończenia,parter/3,"ogródek, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/apartamenty-przyjaciol-mieszkanie-nr-10-ID4mRSF
3,pełna własność,do zamieszkania,4/8,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/ciche-i-sloneczne-3-pokoje-w-aura-sky-ID4nnB3
3,spółdzielcze wł. prawo do lokalu,do zamieszkania,3/10,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-blisko-metra-ID4m9kj
2,N/A,N/A,N/A,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/zakonczona-budowa-i-odlicz-23-vat-ID4nm8X
1,pełna własność,do zamieszkania,4/6,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-na-bliskiej-woli-bardzo-blisko-centrum-ID4kP3u
2,pełna własność,do zamieszkania,2/4,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-ID4nnDp
3,N/A,N/A,N/A,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/zakonczona-budowa-i-odlicz-23-vat-ID4nm9n
4,N/A,do wykończenia,3/6,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/funkcjonalne-mieszkanie-modlinska-201-m17-ID4hV2S
4,pełna własność,do zamieszkania,2/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/m4-deweloperskie-zamkniete-osiedle-ID4m1np
2,N/A,N/A,N/A,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/zakonczona-budowa-i-odlicz-23-vat-ID4nfiL
6,pełna własność,do wykończenia,parter/2,"balkon, ogródek",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/kameralne-mieszkanie-bezczynszowe-stary-rembertow-ID4cPzE
3,pełna własność,do wykończenia,2/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/m3-deweloperskie-zamkniete-osiedle-ID4mP49
2,pełna własność,do zamieszkania,5/12,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-przy-ul-powstancow-slaskich-ID4nnDQ
2,N/A,N/A,3/6,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-w-apartamentowcu-na-bielanach-ID4nnDJ
2,spółdzielcze wł. prawo do lokalu,do zamieszkania,6/10,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-metro-sluzew-46m2-dolinka-ID4nm9w
1,pełna własność,do zamieszkania,3/4,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/studio-lux-38-5m2-50m-do-metro-wierzbno-mokotow-ID4n5K6
1,N/A,do zamieszkania,4/5,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/kawalerka-w-kamienicy-ID4mPW2
2,pełna własność,do zamieszkania,4/4,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/bezposrednio-2-sypialnie-i-salon-budrysow-26-ID4n8ow
2,pełna własność,do wykończenia,1/3,"balkon, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/zawady-wilanow-2-pok-669tys-zl-sloneczne-okazja-ID4nma7
2,pełna własność,do wykończenia,2/5,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/idealne-jako-pierwsze-lokum-ID4nc3Y
4,pełna własność,N/A,4/8,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/sprzedam-4-pokojowe-96-m-na-mokotowie-ID4n4t6
3,pełna własność,do zamieszkania,1/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/trzypokoje-dwa-balkony-ul-syta-ID4neid
1,pełna własność,N/A,4/4,taras,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/apartament-warsaw-apartments-jerozolimskie-roi-14-ID4k8Cl
2,pełna własność,do zamieszkania,7/7,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/klobucka-47m2-bezpieczny-kredyt-2-bez-prowizji-ID4mVeW
2,pełna własność,do zamieszkania,2/4,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokoje-53m2-miasteczko-wilanow-ostoja-ID4nnGa
4,pełna własność,do wykończenia,1/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/4-pok-12min-do-metra-winda-garaz-ID4nnEW
4,pełna własność,do zamieszkania,5/7,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/industrialne-smart-mieszkanie-mordor-galeria-moko-ID42RUj
3,pełna własność,do zamieszkania,2/3,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/gotowe-do-zamieszkania-po-remoncie-ID4nnGt
3,pełna własność,do zamieszkania,1/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/gotowe-3-pokoje-bezposrednio-ursus-niedzwiadek-ID4lwmA
2,pełna własność,do zamieszkania,4/4,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-wlochy-przy-ul-al-dwudziestolatkow-ID4nnEL
3,pełna własność,do zamieszkania,parter/4,"balkon, ogródek",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokoje-duzy-ogrod-garaz-2x-piwnica-zabki-ID4n0QN
3,N/A,N/A,3/4,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/trzypokojowe-mieszkanie-ochota-ID4mPLN
3,pełna własność,do zamieszkania,parter/4,"balkon, ogródek, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/doskonale-3-pokoje-ogrodek-2x-garaz-klimatyzacj-ID4n7TW
2,pełna własność,do zamieszkania,1/5,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowa-perelka-z-meblami-przy-przasnyskiej-ID4n4uJ
1,pełna własność,N/A,3/4,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/doskonala-inwestycja-na-wynajem-warsaw-apartments-ID4mHLD
2,N/A,N/A,3/3,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-po-remoncie-ID4ne9C
2,pełna własność,N/A,9/10,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-z-widokiem-na-panorame-warszawy-ID4natf
3,N/A,N/A,4/4,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-oddzielne-pokoje-po-remoncie-z-kw-ID4n7un
3,pełna własność,do zamieszkania,4/4,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/bezposrednio-3-piekne-pokoje-na-budrysow-26-ID4mWRH
2,pełna własność,N/A,3/10,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/atrakcyjne-2-pokojowe-mieszkanie-wola-ID4nmj1
3,pełna własność,do wykończenia,1/1,ogródek,N/A,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-65m2-ogrodek-ID4iLDj
2,pełna własność,do zamieszkania,1,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/roi-8-w-skali-roku-muranow-dwupak-38-6m2-ID4m61B
2,pełna własność,do zamieszkania,5/6,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/2-pok-w-zabytkowej-kamienicy-na-marszalkowska-ID4iPuF
1,pełna własność,do wykończenia,2/9,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-37m2-loggia-bezposrednio-ID4jK4e
2,pełna własność,do wykończenia,3/6,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-43m2-loggia-bezposrednio-ID4jK7d
3,pełna własność,do wykończenia,parter/11,"taras, ogródek",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-54m2-ogrodek-bez-prowizji-ID4jK3x
1,pełna własność,do wykończenia,1/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-34m2-balkon-bez-prowizji-ID4lJLe
2,pełna własność,do wykończenia,1/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/12min-do-metra-wysoki-standard-2-pokoje-ID4nnoU
3,pełna własność,do zamieszkania,4/5,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/fort-bema-zaprasza-sprzedajemy-przestronne-3-poko-ID4n0se
2,N/A,do remontu,4/5,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/kawalerka-2-pokoje-lazienki-krolewskie-10-minut-ID4n7MC
3,pełna własność,do wykończenia,2/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-64m2-balkon-bezposrednio-ID4ke8h
4,pełna własność,do wykończenia,1/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-104m2-balkon-bezposrednio-ID4ke9E
2,pełna własność,do wykończenia,1/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-36m2-balkon-ID4ke8O
3,N/A,do zamieszkania,parter/1,taras,N/A,,,,,,https://www.otodom.pl/pl/oferta/apartament-z-ogrodkiem-do-wprowadzenia-sie-ID4n4S4
5,N/A,do remontu,parter/1,"balkon, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/apartament-na-ursynowie-widok-na-zielen-ID4kzlU
3,pełna własność,do wykończenia,parter/2,"ogródek, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/20min-do-centrum-m3-ogrodek-ID4nnpa
2,pełna własność,do zamieszkania,2/4,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-w-kamienicy-na-pradze-ID4nnpK
4,pełna własność,do zamieszkania,1/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-na-osiedlu-quarta-ID4mcB6
3,pełna własność,do wykończenia,1/2,"balkon, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/taras-56m2-m3-12min-do-metra-wysoki-standard-ID4nnpm
5,pełna własność,do zamieszkania,4/4,"taras, balkon",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/wyjatkowy-penthouse-z-zielonym-tarasem-na-dachu-ID4mGkm
3,N/A,do zamieszkania,1/6,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-marzen-japonski-urok-na-osiedlu-sakura-ID4ncN6
1,pełna własność,do wykończenia,1/3,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/kawalerka-z-balkonembez-prowizji-i-pccbk2-ID4nnYG
4,N/A,N/A,1/4,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-65m2-4-pokoje-300m-od-tramwaju-ID4nmmY
3,pełna własność,do zamieszkania,N/A,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-cybernetyki-nowa-cena-ID4mFv8
2,pełna własność,N/A,1/4,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/dwa-niezalezne-pokoje-przy-parku-praskim-ID4nmnh
3,pełna własność,do zamieszkania,parter/4,"ogródek, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-57-m2-ogrodek-80m2-ID4nnkR
3,pełna własność,do zamieszkania,2/3,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/bezposrednio-3-pok-58-51-m2-przejezdna-ID4n4y8
2,pełna własność,do wykończenia,3/4,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-35m2-trakt-nadwislanski-ID4mpUy
3,pełna własność,do zamieszkania,9/14,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/komfortowe-3-pok-z-widokiem-na-skyline-2-garaze-ID4n9FT
2,pełna własność,do wykończenia,parter/2,"ogródek, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/prywatny-ogrod-40m2-2pokoje-12min-do-metra-ID4nnqP
3,pełna własność,do zamieszkania,1/6,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/plac-zbawiciela-prestiz-i-pewny-wynajem-ID4n7vG
1,N/A,do remontu,4/10,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/kawalerkabalkonod-zarazinwestycja-ID4nnYP
2,N/A,N/A,1/7,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/conrada-3-budynek-2019-rok-ID4nhdI
3,pełna własność,do zamieszkania,1/3,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/nowoczesny-apartament-w-wysokim-standardzie-ID4mW69
3,pełna własność,N/A,1/6,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-warszawa-zoliborz-ID4nmow
2,pełna własność,do zamieszkania,3/12,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/ladne-nice-and-cozy-ID4lQhU
4,pełna własność,do wykończenia,parter/1,taras,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-z-ogrodkiem-4-pok-c1-ID4mpvU
4,pełna własność,do wykończenia,4/5,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/gotowe-m4-przedostatnie-pietro-metro-1km-bez-pcc-ID4no0S
2,pełna własność,do zamieszkania,2/4,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/wilanow-2-pokoje-swiezo-wykonczone-pod-klucz-ID4lkF8
3,pełna własność,do zamieszkania,1/7,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/przestronny-apartament-72m2-przy-nowej-ul-okrzei-ID4mkuY
2,pełna własność,do zamieszkania,3/9,taras,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-z-tarasem-na-gornym-mokotowie-ID4mdEY
4,pełna własność,do wykończenia,1/7,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-78m2-balkon-bez-prowizji-ID4hRyE
3,pełna własność,do remontu,4/4,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/warszawa-srodmiescie-ul-dluga-2-3-pokoje-sprzedam-ID4mRER
3,pełna własność,do wykończenia,7/7,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-63m2-balkon-bezposrednio-ID4hRA9
2,pełna własność,do zamieszkania,3/7,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/sprzedam-dwupokojowe-mieszkanie-warszawa-mokotow-ID4nnrm
3,spółdzielcze wł. prawo do lokalu,N/A,1/4,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/3-pokoje-pierwsze-pietro-cicha-i-zielona-okolica-ID4no0Z
2,pełna własność,do wykończenia,1/4,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-34m2-loggia-bezposrednio-ID4mvn3
2,N/A,do wykończenia,4/4,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/lokata-kapitalu-klima-recepcja-bez-pcc-ID4nkiB
2,pełna własność,N/A,parter/3,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/swietnie-doswietlone-bezpieczne-osiedle-wys-stand-ID4n0K0
4,spółdzielcze wł. prawo do lokalu,do zamieszkania,4/4,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/gotowiec-inwestycyjny-lub-mieszkanie-dla-rodziny-ID4cOqM
2,pełna własność,do zamieszkania,8/10,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/dwupokojowe-lux-na-wyscigowej-ekstra-widok-ID4no2f
3,pełna własność,do wykończenia,parter/6,"taras, ogródek",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-57m2-ogrodek-bez-prowizji-ID4mn5g
3,pełna własność,do wykończenia,1/6,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-54m2-loggia-bez-prowizji-ID4mvlO
1,pełna własność,do zamieszkania,3/4,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/swietnie-skomunikowana-kawalerka-ochota-do-wejscia-ID4no2T
2,N/A,N/A,2,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/gotowiec-inwestycyjny-nowy-swiat-35-63m2-2-pokoje-ID4no2h
2,pełna własność,do zamieszkania,parter/2,"ogródek, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/sprzedam-nowoczesne-mieszkanie-w-wilanowie-zawady-ID4mVul
1,pełna własność,N/A,parter/2,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/wyjatkowe-w-kamienicy-100m-do-metra-ID4no2V
5,pełna własność,do wykończenia,6/6,"balkon, ogródek, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/wyjatkowy-penthouse-otoczony-tarasem-o-pow-165-m2-ID4no2Z
2,pełna własność,do zamieszkania,2/5,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/fort-bemaprzestronne2-pokojebalkonod-zaraz-ID4mNzT
1,pełna własność,do wykończenia,5/11,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-33m2-balkon-bezposrednio-ID4jK3e
3,pełna własność,do wykończenia,1/11,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-59m2-loggia-ID4jK26
5,pełna własność,do wykończenia,8/9,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/5-pokojowe-mieszkanie-113m2-balkon-ID4jK6W
2,pełna własność,do wykończenia,parter/2,ogródek,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-40m2-ogrodek-bez-prowizji-ID4ke8S
4,pełna własność,do wykończenia,1/11,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-73m2-loggia-bezposrednio-ID4jK2i
2,pełna własność,do wykończenia,parter/2,ogródek,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-43m2-ogrodek-bez-prowizji-ID4ke8n
1,pełna własność,do wykończenia,parter/2,ogródek,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-34m2-ogrodek-bezposrednio-ID4ke9D
2,pełna własność,do wykończenia,parter/11,"taras, ogródek",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-39m2-ogrodek-ID4jK5N
1,pełna własność,do zamieszkania,2/3,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/nowoczesna-urzadzona-duza-kawalerka-z-klimatem-ID4nntV
3,pełna własność,do wykończenia,2/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-60m2-balkon-bez-prowizji-ID4ke8R
1,pełna własność,do wykończenia,parter/2,ogródek,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-ogrodek-bezposrednio-ID4ke7Y
4,pełna własność,do wykończenia,1/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-116m2-balkon-ID4kea6
3,pełna własność,do wykończenia,parter/2,ogródek,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-59m2-ogrodek-bez-prowizji-ID4ke9R
4,pełna własność,do wykończenia,2/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-63m2-balkon-bezposrednio-ID4mrWj
4,pełna własność,do wykończenia,parter/2,ogródek,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-92m2-ogrodek-bez-prowizji-ID4kea5
3,pełna własność,do zamieszkania,7/9,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/apartament-z-pieknym-widokiem-na-zielen-ID4lVMK
3,N/A,N/A,parter/4,ogródek,N/A,,,,,,https://www.otodom.pl/pl/oferta/ogrod-100m2-ciche-3-pokoje-48-m2-blisko-parku-ID4nnuI
4,N/A,N/A,3/3,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/4-pokoje-na-mlocinach-ID4nnub
3,pełna własność,do zamieszkania,1/2,N/A,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-wilanow-vogla-ID4mgIS
3,pełna własność,do wykończenia,parter/6,"taras, ogródek",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-55m2-ogrodek-ID4mn5e
3,pełna własność,do wykończenia,2/6,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-54m2-loggia-ID4mvlY
3,N/A,N/A,parter/4,ogródek,N/A,,,,,,https://www.otodom.pl/pl/oferta/wysoki-standard-duzy-ogrod-ursynow-ID4no3A
