rooms_No,ownership_form,interior_state,floor,balcony,parking_space,listing_type,description,year_built,building_type,lift,link2
2,pełna własność,do zamieszkania,3/3,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-w-kamienicy-na-woli-ID4nlDJ
3,pełna własność,do zamieszkania,3/3,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-m3-warszawa-kazimierza-deyny-ID4mKwG
1,pełna własność,do zamieszkania,parter/6,ogródek,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/kawalerka-z-ogrodkiem-i-parkingiem-na-tarchominie-ID4nlDH
5,N/A,N/A,1/5,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/nowy-apartament-lazienki-krolewskie-wyposazony-ID4mRZD
2,N/A,N/A,2/4,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-58-m-warszawa-ID4njLU
2,N/A,do zamieszkania,9/10,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojebalkonprzy-browarach-warszawskich-ID4ns86
2,pełna własność,do wykończenia,parter/8,"taras, ogródek",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-54m2-ogrodek-ID4jwYB
2,pełna własność,do wykończenia,1/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-43m2-balkon-ID4njko
3,N/A,do zamieszkania,6/11,balkon,N/A,,,,,,https://www.otodom.pl/pl/oferta/przy-metrze-przytulne-trzypokojowe-mieszkanie-ID4ns7M
2,pełna własność,do zamieszkania,6/14,taras,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/warszawa-centrum-elegancki-apartament-69-43m2-ID4n5Et
1,N/A,do zamieszkania,5/10,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/kawalerka-przy-browarach-warszawskich-ID4ns87
2,udział,do wykończenia,1/3,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-wilanow-ID4hFC4
3,pełna własność,do wykończenia,1/8,N/A,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-74m2-loggia-bez-prowizji-ID4jwZv
2,pełna własność,do wykończenia,1/3,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/mieszkania-2-pokoje-kredyt-2-ID4n4fY
2,pełna własność,do wykończenia,parter/5,"ogródek, taras",garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/duzy-ogrodek-kredyt-2-ID4nqWG
2,pełna własność,do wykończenia,5/8,taras,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-44m2-taras-bezposrednio-ID4ikIT
3,pełna własność,do wykończenia,1/8,taras,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-57m2-taras-bez-prowizji-ID4jFkT
2,pełna własność,do wykończenia,parter/5,taras,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/wygodne-mieszkanie-z-ogrodkiem-kredyt-2-ID4nqV7
3,pełna własność,do wykończenia,1/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-57m2-balkon-ID4dGFw
4,pełna własność,do wykończenia,1/2,balkon,garaż/miejsce parkingowe,,,,,,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-73m2-2-balkony-ID4dGFd
