title,price,area,link1,rooms_No,ownership_form,interior_state,balcony,parking_space,link2,street,nbrhood,district,city,vvdship,timestamp
"Stara Ochota w kamienicy z klimatem 55 mk2, 2 pok.",880000,55.0,https://www.otodom.pl/pl/oferta/stara-ochota-w-kamienicy-z-klimatem-55-mk2-2-pok-ID4mUmW,2,pełna własność,do zamieszkania,no data,no data,https://www.otodom.pl/pl/oferta/stara-ochota-w-kamienicy-z-klimatem-55-mk2-2-pok-ID4mUmW,ul. Barska, Stara Ochota, Ochota, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
"Mieszkanie w pięknej kamienicy, przy metrze, park",849000,51.0,https://www.otodom.pl/pl/oferta/mieszkanie-w-pieknej-kamienicy-przy-metrze-park-ID4ntrK,2,no data,do wykończenia,no data,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/mieszkanie-w-pieknej-kamienicy-przy-metrze-park-ID4ntrK,ul. Nowolipki, Muranów, Śródmieście, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
2 pokoje|Loggia|Do zamieszkania|Widok na skwer|,979000,56.7,https://www.otodom.pl/pl/oferta/2-pokoje-loggia-do-zamieszkania-widok-na-skwer-ID4lwlE,2,pełna własność,do zamieszkania,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/2-pokoje-loggia-do-zamieszkania-widok-na-skwer-ID4lwlE,no info,Odolany, Wola, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
"3-pokojowe na Czumy, Bemowo",859000,60.2,https://www.otodom.pl/pl/oferta/3-pokojowe-na-czumy-bemowo-ID4nsY3,3,spółdzielcze wł. prawo do lokalu,do zamieszkania,balkon,no data,https://www.otodom.pl/pl/oferta/3-pokojowe-na-czumy-bemowo-ID4nsY3,ul. gen. Waleriana Czumy, Jelonki Północne, Bemowo, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Mieszkanie - Warszawa Praga-Południe Gocław,525000,40.0,https://www.otodom.pl/pl/oferta/mieszkanie-warszawa-praga-poludnie-goclaw-ID4nsXN,1,pełna własność,do wykończenia,balkon,no data,https://www.otodom.pl/pl/oferta/mieszkanie-warszawa-praga-poludnie-goclaw-ID4nsXN,ul. Mlądzka, Grochów, Praga-Południe, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
2-pokojowe mieszkanie 38m2 + ogródek,742170,38.06,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-38m2-ogrodek-ID4kgvx,2,pełna własność,do wykończenia,"taras, ogródek",garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-38m2-ogrodek-ID4kgvx,ul. Figowa, Siekierki, Mokotów, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
4-pokojowe mieszkanie 72m2 + 2 ogródki,Zapytaj o cenę,72.75,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-72m2-2-ogrodki-ID4dGEX,4,pełna własność,do wykończenia,ogródek,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-72m2-2-ogrodki-ID4dGEX,ul. Gioacchino Rossiniego, Kobiałka, Białołęka, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
3 pokoje z widną kuchnią na Gocławiu!,799000,64.8,https://www.otodom.pl/pl/oferta/3-pokoje-z-widna-kuchnia-na-goclawiu-ID4l34d,3,pełna własność,do zamieszkania,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/3-pokoje-z-widna-kuchnia-na-goclawiu-ID4l34d,ul. gen. Leopolda Okulickiego, Gocław, Praga-Południe, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Urządzone 2 pokoje z balkonem w super lokalizacji!,678000,46.0,https://www.otodom.pl/pl/oferta/urzadzone-2-pokoje-z-balkonem-w-super-lokalizacji-ID4n5Og,2,pełna własność,do zamieszkania,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/urzadzone-2-pokoje-z-balkonem-w-super-lokalizacji-ID4n5Og,ul. rtm. Witolda Pileckiego, Ursynów-Centrum, Ursynów, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Ładne mieszkanie na Gocławiu BEZPOŚREDNIO,720000,42.0,https://www.otodom.pl/pl/oferta/ladne-mieszkanie-na-goclawiu-bezposrednio-ID4gYT1,2,pełna własność,do zamieszkania,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/ladne-mieszkanie-na-goclawiu-bezposrednio-ID4gYT1,no info,Gocław, Praga-Południe, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Metro 9 Min/ 2 Pokoje/ Muranów/ Wysokie/ Cisza,875000,50.0,https://www.otodom.pl/pl/oferta/metro-9-min-2-pokoje-muranow-wysokie-cisza-ID4ntrJ,2,pełna własność,do zamieszkania,no data,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/metro-9-min-2-pokoje-muranow-wysokie-cisza-ID4ntrJ,ul. Karmelicka, Muranów, Śródmieście, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
"3 pokojowe, przy Pl. Bankowym, doskonałe na inwest",1098000,55.0,https://www.otodom.pl/pl/oferta/3-pokojowe-przy-pl-bankowym-doskonale-na-inwest-ID4ntrH,3,pełna własność,do zamieszkania,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/3-pokojowe-przy-pl-bankowym-doskonale-na-inwest-ID4ntrH,no info,Kobiałka, Białołęka, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
"Nowe mieszkanie, 67,06m2, osiedle zamknięte, cesja",838250,67.06,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-67-06m2-osiedle-zamkniete-cesja-ID4m4Gn,4,pełna własność,do zamieszkania,balkon,no data,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-67-06m2-osiedle-zamkniete-cesja-ID4m4Gn,ul. Chełmżyńska, Kawęczyn-Wygoda, Rembertów, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
2-pokojowe / Rembertów ul. Paderewskiego / Las,570000,49.8,https://www.otodom.pl/pl/oferta/2-pokojowe-rembertow-ul-paderewskiego-las-ID4nsXE,2,pełna własność,do zamieszkania,balkon,garaż/miejsce parkingowe,https://www.otodom.pl/pl/oferta/2-pokojowe-rembertow-ul-paderewskiego-las-ID4nsXE,ul. Ignacego Paderewskiego, Stary Rembertów, Rembertów, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
Warszawa Ochota Grójecka 42m2 pokoje + duży balkon,633000,42.2,https://www.otodom.pl/pl/oferta/warszawa-ochota-grojecka-42m2-pokoje-duzy-balkon-ID4nsXC,2,pełna własność,do remontu,balkon,no data,https://www.otodom.pl/pl/oferta/warszawa-ochota-grojecka-42m2-pokoje-duzy-balkon-ID4nsXC,ul. Grójecka, Stara Ochota, Ochota, Warszawa, mazowieckie,2023-10-10 12:28:55.058127
